School,"City, State",SR key,NCAA key,NCAA School,NCAA Name,background-color
Muhlenberg Mules,"Allentown, Pennsylvania",muhlenberg,muhlenberg,Muhlenberg,Muhlenberg College,#932135
Murray State,"Murray, Kentucky",murray-state,murray-st,Murray St.,Murray State University,#0C2340
Muskingum Fighting Muskies,"New Concord, Ohio",muskingum,muskingum,Muskingum,Muskingum University,#BF2037
Navy,"Annapolis, Maryland",navy,navy,Navy,U.S. Naval Academy,#00205B
NC State,"Raleigh, North Carolina",north-carolina-state,north-carolina-st,North Carolina St.,North Carolina State University,#C8102E
Nebraska,"Lincoln, Nebraska",nebraska,nebraska,Nebraska,University of Nebraska-Lincoln,#C8102E
Nebraska Wesleyan Prairie Wolves,"Lincoln, Nebraska",nebraska-wesleyan,neb-wesleyan,Neb. Wesleyan,Nebraska Wesleyan University,#5A3A21
Nevada,"Reno, Nevada",nevada,nevada,Nevada,University of Nevada,#041E42
Nevada-Las Vegas,"Las Vegas, Nevada",nevada-las-vegas,unlv,UNLV,UNLV,#C8102E
New Hampshire,"Durham, New Hampshire",new-hampshire,new-hampshire,New Hampshire,University of New Hampshire,#041E42
New Mexico,"Albuquerque, New Mexico",new-mexico,new-mexico,New Mexico,University of New Mexico,#BA0C2F
New Mexico State,"Las Cruces, New Mexico",new-mexico-state,new-mexico-st,New Mexico St.,New Mexico State University,#891619
New Orleans,"New Orleans, Louisiana",new-orleans,new-orleans,New Orleans,University of New Orleans,#0057B8
New York University Violets,"New York, New York",new-york-university,new-york-u,New York U.,New York University,#4A2A70
Newberry Wolves,"Newberry, South Carolina",newberry,newberry,Newberry,Newberry College,#C8102E
Niagara,"Niagara University, New York",niagara,niagara,Niagara,Niagara University,#582C83
Nicholls State,"Thibodaux, Louisiana",nicholls-state,nicholls-st,Nicholls St.,Nicholls State University,#A6192E
NJIT,"Newark, New Jersey",njit,njit,New-Jersey-Tech,New Jersey Institute of Technology,#D22630
